Data;14093 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Norte - Total - R$ (milhões);14094 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Nordeste - Total - R$ (milhões);14095 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Centro-Oeste - Total - R$ (milhões);14096 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Sudeste - Total - R$ (milhões);14097 - Saldo das operações de crédito do Sistema Financeiro Nacional - Região Sul - Total - R$ (milhões)
09/2007;27.866 ;82.748 ;74.019 ;438.640 ;148.653
10/2007;28.711 ;84.977 ;75.974 ;449.939 ;152.704
11/2007;29.464 ;88.439 ;78.583 ;467.421 ;158.262
12/2007;30.458 ;92.260 ;80.650 ;484.633 ;163.710
01/2008;30.917 ;94.309 ;82.206 ;490.014 ;165.566
02/2008;31.784 ;96.131 ;83.831 ;500.418 ;168.160
03/2008;32.312 ;98.376 ;86.351 ;518.671 ;172.753
04/2008;33.082 ;100.850 ;88.648 ;532.886 ;176.898
05/2008;34.123 ;103.934 ;90.924 ;549.616 ;182.722
06/2008;35.196 ;107.053 ;93.487 ;563.561 ;187.283
07/2008;36.111 ;109.543 ;95.539 ;573.585 ;190.313
08/2008;37.241 ;112.851 ;98.023 ;588.482 ;195.328
09/2008;38.400 ;117.131 ;101.039 ;607.825 ;204.805
10/2008;39.942 ;120.855 ;104.080 ;628.667 ;209.201
11/2008;40.840 ;124.177 ;106.031 ;642.161 ;214.954
12/2008;41.302 ;126.537 ;107.420 ;647.450 ;217.708
01/2009;41.366 ;126.947 ;108.707 ;646.317 ;218.068
02/2009;41.279 ;128.498 ;108.829 ;651.953 ;219.056
03/2009;41.478 ;129.246 ;110.153 ;656.090 ;218.907
04/2009;42.186 ;130.240 ;111.052 ;660.553 ;221.007
05/2009;42.839 ;131.285 ;111.695 ;665.670 ;220.702
06/2009;43.401 ;134.095 ;113.247 ;675.355 ;222.181
07/2009;44.283 ;146.069 ;114.522 ;693.729 ;222.879
08/2009;45.036 ;149.286 ;115.923 ;704.262 ;225.399
09/2009;45.619 ;151.424 ;117.331 ;717.563 ;228.061
10/2009;46.873 ;154.815 ;118.725 ;728.560 ;232.306
11/2009;48.255 ;159.138 ;120.160 ;743.383 ;237.115
12/2009;49.251 ;162.566 ;121.857 ;754.126 ;240.980
01/2010;49.555 ;167.257 ;123.672 ;765.649 ;244.745
02/2010;49.664 ;166.724 ;123.832 ;770.580 ;245.627
03/2010;49.956 ;168.792 ;124.486 ;772.646 ;248.189
04/2010;51.046 ;172.067 ;126.124 ;781.339 ;251.819
05/2010;52.180 ;176.995 ;127.668 ;796.801 ;256.275
06/2010;53.668 ;181.852 ;129.165 ;819.205 ;260.227
07/2010;54.672 ;184.744 ;130.539 ;830.976 ;262.339
08/2010;56.469 ;188.011 ;133.200 ;847.073 ;268.543
09/2010;58.043 ;192.822 ;135.786 ;865.167 ;275.407
10/2010;59.129 ;197.546 ;139.020 ;884.454 ;280.462
11/2010;60.612 ;201.948 ;142.043 ;899.609 ;287.096
12/2010;62.600 ;206.842 ;145.284 ;910.542 ;294.554
01/2011;62.868 ;210.982 ;147.341 ;916.640 ;297.292
02/2011;63.149 ;214.116 ;149.222 ;929.897 ;300.853
03/2011;64.277 ;215.630 ;151.738 ;937.695 ;303.320
04/2011;65.235 ;219.448 ;153.798 ;950.511 ;308.147
05/2011;66.350 ;223.071 ;155.860 ;964.374 ;312.837
06/2011;68.007 ;227.395 ;158.230 ;981.242 ;317.474
07/2011;68.805 ;231.552 ;161.047 ;994.409 ;322.024
08/2011;69.843 ;235.618 ;163.647 ;1.008.488 ;327.315
09/2011;72.221 ;243.592 ;167.935 ;1.034.116 ;335.955
10/2011;73.292 ;245.301 ;170.328 ;1.043.219 ;341.170
