Number of headquarters of authorized financial institutions,Number of branches of financial institutions,Number of banking service outposts of financial institutions,Number of electronic service outposts of financial institutions,Number of correspondents of financial institutions ,Number of ATMs of financial institutions,Number of POSs of financial institutions,Number of authorized credit unions ,Number of credit unions banking service outposts,Number of credit unions electronic service outposts,Number of credit unions correspondents,Number of branches of finance companies,Number of banking services outpost of finance companies,Number of electronic service outposts of finance companies,"Number of microentrepreneur, and small business credit companies correspondents",Adults with a banking relationship (million),Date,Região,Total invesment activity,Number Fintechs Brazil,Área,População
0.06346232850277084,1.0775644349858233,0.6546981032275645,1.7814782215420673,11.97171496970127,10.258232100126458,276.5060128613532,0.05763415547700618,0.23377449581122728,0.010361196490248302,0.24478326708211612,0.006475747806405188,0.003237873903202594,1.6998837991813618,0.021369967761137122,10.0,2015,Central-West,48373.83611384675,0.04856810854803891,1612000.0,15442232.0
0.06002175597095152,1.1065713095495635,0.7100446025499796,1.7814967995633482,10.403558191858648,10.032572657612661,271.3532505101211,0.054274992101392326,0.25541172753596386,0.010216469101438556,0.21965408568092895,0.006385293188399097,0.0031926465941995484,1.789797680708267,0.02234852615939684,10.0,2016,Central-West,234978.78933308678,0.0657685198405107,1612000.0,15660988.0
0.058579330302199424,1.1048187672049226,0.7898761311715923,1.8304466006257154,10.393736874371966,9.543391757081974,300.4036241834876,0.05165059230946616,0.28470814297413055,0.010078164353066568,0.11211957842786557,0.006928737992733265,0.003779311632399963,1.7611592206983828,0.0270850666988664,11.0,2017,Central-West,103049.23051010566,0.07558623264799925,1612000.0,15875907.0
0.05843632476546985,1.0891536275436509,0.8031886340105006,1.7170332872577418,10.714983975081259,9.374056820622553,551.0141344414684,0.050354705383011254,0.310831514709946,0.009946608470718273,0.15168577917845366,0.006838293323618813,0.003729978176519352,2.0334597692324667,0.000621663029419892,11.0,2018,Central-West,352793.7691957887,0.04102975994171287,1612000.0,16085885.0
0.05461103017633718,1.0357687521085073,0.8633451624506338,1.6953963637889844,10.03799823207528,8.416848325042888,424.53571727047444,0.04786135228937415,0.3515968572027101,0.009817713290128031,0.15646980556141551,0.007363284967596024,0.003681642483798012,2.1058995007324626,0.000613607080633002,11.0,2019,Central-West,528254.3357169514,0.016567391177091054,1612000.0,16297074.0
,,,,,,,,,,,,,,,,2020,Central-West,,,1612000.0,
0.0327328450442208,0.38710999378644356,0.078990039238449,0.4600238761603965,4.187844115058812,,,0.028616738781175072,0.01117228842826698,,0.0,0.00019600506014503472,,0.3298765162240935,0.002940075902175521,16.0,2005,Northeast,,,1554000.0,51019091.0
0.03197115109339302,0.4047741492975638,0.0918443976864745,0.48789914214038566,4.94584019187186,3.6516867485217266,,0.028095860051769627,0.01181963767695136,,0.00019376455208116984,0.001162587312487019,,0.37028405902711553,0.03197115109339302,17.0,2006,Northeast,,,1554000.0,51609027.0
0.03318082958360853,0.41349911019105134,0.10167692808076532,0.5200270367489525,5.886395592095605,4.403930457482919,90.30463533084644,0.029105990862814502,0.012418556101467521,,0.00019403993908543001,0.00135827957359801,,0.46103889526698166,0.03201658994909595,19.0,2007,Northeast,,,1554000.0,51535782.0
0.032963825178029614,0.4121419970830217,0.17197698507166306,0.635730914147714,6.334517010925474,4.56294686350051,107.91621740897214,0.028631436726060007,0.012808800640605793,,0.00018836471530302637,0.0022603765836363165,,0.9324053407499805,0.03578929590757501,21.0,2008,Northeast,,,1554000.0,53088499.0
0.03153502990425834,0.4519398960243415,0.20320501518187772,0.706645906789505,7.343556815870338,4.725776138196727,117.05728461336663,0.027243280272317857,0.013621640136158929,0.0001865978100843689,0.0003731956201687378,0.0022391737210124265,,0.9087313351108766,0.04049172478830805,22.0,2009,Northeast,,,1554000.0,53591197.0
0.030709442571430115,0.47609056060125093,0.22495137687292982,0.771127291072782,8.159856854056502,5.063289994522604,120.03284892987107,0.026753011319896176,0.018274944352323443,0.0003768029763365658,0.0007536059526731316,0.002826022322524244,,0.861748406881726,0.006217249109553336,24.0,2010,Northeast,,,1554000.0,53078137.0
0.028970955943792533,0.5291404921088817,0.23999166085051363,0.9126785669260576,9.013892395776379,5.151596694985869,118.75531278268294,0.024672039900520092,0.0214945802163622,0.00037381878637151656,0.0007476375727430331,0.0029905502909721325,,0.9461353483063084,0.005233463009201232,26.0,2011,Northeast,,,1554000.0,53501859.0
0.02578507961764771,0.5643036848696714,0.3079369220524834,0.9972704174422596,10.039485675590605,5.354392360314989,119.50809339852988,0.02170398787960275,0.024486550428269766,0.0005565125097334038,0.000927520849555673,0.003710083398222692,,0.9228832453078947,0.0061216376070674415,27.0,2012,Northeast,,,1554000.0,53907144.0
0.022941244229492952,0.5724557349140663,0.309348340157069,1.0472319533822447,10.164046564488634,5.429188829685941,125.64704390328639,0.01899821787754885,0.0261673566992654,0.0007169138821716547,0.0016130562348862232,0.0043014832930299285,,0.7393174409895189,0.007527595762802375,29.0,2013,Northeast,9803.797338697379,0.006989910351173634,1554000.0,55794707.0
0.021535541028854244,0.5857311200492505,0.3239230138224357,1.0249849651667073,8.163571867037078,5.539617475397424,141.02112992534288,0.017264028758668278,0.02990058589130176,0.000711918711697661,0.00373757323641272,0.004449491948110381,,0.7425312163006603,0.008365044862447516,31.0,2014,Northeast,24667.983360323953,0.011212719709238159,1554000.0,56186190.0
0.021393180112312782,0.5869864295279209,0.3518382514339044,1.0106067563799987,7.876049541018161,5.519440468976698,141.73476873203205,0.017149904718135038,0.03447661257769415,0.0008840157071203628,0.0045968816770258865,0.004773684818449959,,0.7621983426791769,0.010254582202596209,32.0,2015,Northeast,13207.194664378221,0.013260235606805443,1554000.0,56560081.0
0.019853841988999355,0.5938582825028126,0.3775743932244214,1.0172897797903209,7.079915192820513,5.458576662957805,129.79405275879148,0.01616418993794638,0.03847779996098105,0.0008784885835840423,0.002986861184185744,0.004743838351353828,,0.7930994932596733,0.012123142453459784,33.0,2016,Northeast,64656.75975178551,0.01809686482183127,1554000.0,56915936.0
0.017640639870371688,0.6090387250295651,0.425121954895888,1.0689179802641062,7.295539875103222,5.381617779068242,139.82774596339806,0.01432210365713345,0.04593552758324509,0.0010479588041804964,0.005065134220205732,0.004715814618812234,0.00034931960139349876,0.782650566922134,0.013099485052256204,34.0,2017,Northeast,28574.343393988198,0.020959176083609928,1554000.0,57254159.0
0.01708926480573382,0.6056999216712666,0.438859367330752,1.0246511763932773,7.706025181472136,5.460460550401175,256.1832307448911,0.013741883039662246,0.05426282020789707,0.001057067926127865,0.010042145298214717,0.004756805667575393,0.001057067926127865,0.8683813013140411,0.0001761779876879775,36.0,2018,Northeast,99981.00801292724,0.011627747187406515,1554000.0,56760780.0
0.015068776524332026,0.5780452762066437,0.4536402607150653,1.014163703753881,7.267180306356638,5.3858610791269514,253.47171469745734,0.012090064885801277,0.05239028117180553,0.0007008733267131175,0.009637008242305366,0.005081331618670102,0.0021026199801393525,0.9172679663357926,0.00017521833167827937,37.0,2019,Northeast,150845.46174183072,0.004730894955313543,1554000.0,57071654.0
,,,,,,,,,,,,,,,,2020,Northeast,,,1554000.0,
0.05782754302743379,0.3891453483728486,0.10204860534253023,0.526570803567456,2.3239869056672218,,,0.05170462670688198,0.017688424926038573,,0.0,,,0.18164651750970381,0.0047622682493180775,4.0,2005,North,,,3870000.0,14698878.0
0.05724913893300919,0.404072410841123,0.11183552721797144,0.559843323751869,2.8504745687342483,3.104101567960719,,0.05125794997490358,0.02130200518437551,,0.0,0.0013313753240234694,,0.27692606739688164,0.010651002592187755,4.0,2006,North,,,3870000.0,15022060.0
0.06086170463240317,0.4273996111826065,0.13266483931108106,0.6134039219692768,3.6332386147411015,4.527700521024061,67.33014130788521,0.054023310853481464,0.022566699470441626,,0.0006838393778921705,0.001367678755784341,,0.38295005161961543,0.010941430046274727,5.0,2007,North,,,3870000.0,14623317.0
0.0581138720189895,0.43189173068658104,0.20471932188507666,0.7244422455094487,4.137311456806469,4.540146251483555,83.83124154212027,0.05217040783522921,0.02443424164434786,,0.0019811547279200968,0.0013207698186133978,,0.7475557173351831,0.009245388730293784,5.0,2008,North,,,3870000.0,15142684.0
0.05794418711727539,0.4661577300670694,0.23568309816240102,0.7929889877397913,4.761840276132047,4.996872316012231,88.56671342133211,0.05208466257732619,0.02734444785309625,,0.003255291411082887,0.0013021165644331548,,0.7409043251624651,0.008463757668815507,6.0,2009,North,,,3870000.0,15359608.0
0.05541268946810682,0.4697484811728146,0.26761810254483404,0.860156066061749,5.199977154859387,5.233350706470861,85.20834447096907,0.0497454825906868,0.03085479299928675,0.0006296896530466684,0.005037517224373347,0.0012593793060933368,,0.7411447216359287,0.008185965489606688,6.0,2010,North,,,3870000.0,15880839.0
0.05281081853848607,0.5374277415975347,0.2783440788851972,1.031985524616769,6.109901053029082,5.396023047138253,85.86666312109328,0.046597781063370064,0.035414313608161246,0.0006213037475116008,0.01491128994027842,0.0012426074950232016,,0.807694871765081,0.006834341222627609,7.0,2011,North,,,3870000.0,16095187.0
0.047799498019476826,0.5754324184652402,0.3370477424450289,1.1220625753033597,6.848197312405814,5.604184735745071,93.67782390701699,0.04228417132492181,0.045348241710785706,0.0006128140771727798,0.02757663347277509,0.0012256281543455596,,0.7310871940671263,0.009192211157591697,7.0,2012,North,,,3870000.0,16318163.0
