Number of headquarters of authorized financial institutions,Number of branches of financial institutions,Number of banking service outposts of financial institutions,Number of electronic service outposts of financial institutions,Number of correspondents of financial institutions ,Number of ATMs of financial institutions,Number of POSs of financial institutions,Number of authorized credit unions ,Number of credit unions banking service outposts,Number of credit unions electronic service outposts,Number of credit unions correspondents,Number of branches of finance companies,Number of banking services outpost of finance companies,Number of electronic service outposts of finance companies,"Number of microentrepreneur, and small business credit companies correspondents",Adults with a banking relationship (million),Date,Região,Total invesment activity,Number Fintechs Brazil,Área,População
0.05831265508684864,1.086848635235732,0.8014888337468983,1.7133995037220844,10.692307692307692,9.354218362282879,549.8480148883375,0.05024813895781638,0.31017369727047145,0.009925558312655087,0.1513647642679901,0.006823821339950372,0.0037220843672456576,2.0291563275434243,0.0006203473945409429,11.0,2018,Central-West,352047.1464019851,0.04094292803970223,1612000.0,16085885.0
0.05521091811414392,1.0471464019851116,0.8728287841191067,1.7140198511166254,10.148263027295286,8.509305210918114,429.1991315136476,0.04838709677419355,0.3554590570719603,0.009925558312655087,0.15818858560794044,0.007444168734491315,0.0037220843672456576,2.129032258064516,0.0006203473945409429,11.0,2019,Central-West,534057.0719602978,0.016749379652605458,1612000.0,16297074.0
0.05459057071960298,1.044044665012407,0.8933002481389578,1.7084367245657568,10.011166253101736,,690.468982630273,0.047766749379652605,0.3753101736972705,0.011166253101736972,0.151985111662531,0.007444168734491315,0.0037220843672456576,2.0595533498759306,0.0006203473945409429,,2020,Central-West,,,1612000.0,
0.10746460746460747,1.270913770913771,0.25933075933075933,1.5102960102960103,13.749034749034749,,,0.09395109395109395,0.03667953667953668,,0.0,0.0006435006435006435,,1.083011583011583,0.009652509652509652,16.0,2005,Northeast,,,1554000.0,51019091.0
0.10617760617760617,1.3442728442728442,0.305019305019305,1.6203346203346203,16.425353925353924,12.127413127413128,,0.0933075933075933,0.039253539253539256,,0.0006435006435006435,0.003861003861003861,,1.2297297297297298,0.10617760617760617,17.0,2006,Northeast,,,1554000.0,51609027.0
0.11003861003861004,1.3712998712998714,0.33719433719433717,1.7245817245817245,19.52123552123552,14.604890604890604,299.4800514800515,0.09652509652509653,0.04118404118404118,,0.0006435006435006435,0.0045045045045045045,,1.528957528957529,0.10617760617760617,19.0,2007,Northeast,,,1554000.0,51535782.0
0.11261261261261261,1.407979407979408,0.5875160875160875,2.171814671814672,21.64028314028314,15.588159588159588,368.66859716859716,0.0978120978120978,0.043758043758043756,,0.0006435006435006435,0.007722007722007722,,3.1853281853281854,0.12226512226512226,21.0,2008,Northeast,,,1554000.0,53088499.0
0.10875160875160875,1.5585585585585586,0.7007722007722008,2.436936936936937,25.324967824967825,16.2972972972973,403.6833976833977,0.09395109395109395,0.046975546975546977,0.0006435006435006435,0.001287001287001287,0.007722007722007722,,3.133848133848134,0.13963963963963963,22.0,2009,Northeast,,,1554000.0,53591197.0
0.1048906048906049,1.6261261261261262,0.7683397683397684,2.633848133848134,27.87065637065637,17.294079794079796,409.98198198198196,0.09137709137709138,0.06241956241956242,0.001287001287001287,0.002574002574002574,0.009652509652509652,,2.943371943371943,0.021235521235521235,24.0,2010,Northeast,,,1554000.0,53078137.0
0.09974259974259975,1.8217503217503217,0.8262548262548263,3.142213642213642,31.033462033462033,17.736164736164735,408.85649935649934,0.08494208494208494,0.074002574002574,0.001287001287001287,0.002574002574002574,0.010296010296010296,,3.257400257400257,0.018018018018018018,26.0,2011,Northeast,,,1554000.0,53501859.0
0.08944658944658945,1.9575289575289576,1.0682110682110681,3.4594594594594597,34.826254826254825,18.574002574002574,414.5649935649936,0.07528957528957529,0.08494208494208494,0.0019305019305019305,0.0032175032175032173,0.01287001287001287,,3.2014157014157014,0.021235521235521235,27.0,2012,Northeast,,,1554000.0,53907144.0
0.08236808236808237,2.055341055341055,1.1106821106821108,3.75997425997426,36.4929214929215,19.492921492921493,451.1222651222651,0.0682110682110682,0.09395109395109395,0.002574002574002574,0.005791505791505791,0.015444015444015444,,2.6544401544401546,0.02702702702702703,29.0,2013,Northeast,35199.4851994852,0.025096525096525095,1554000.0,55794707.0
0.07786357786357787,2.117760617760618,1.1711711711711712,3.705920205920206,29.516087516087516,20.02895752895753,509.8738738738739,0.06241956241956242,0.10810810810810811,0.002574002574002574,0.013513513513513514,0.016087516087516088,,2.684684684684685,0.030244530244530245,31.0,2014,Northeast,89189.18918918919,0.04054054054054054,1554000.0,56186190.0
0.07786357786357787,2.1364221364221363,1.2805662805662805,3.6782496782496783,28.666023166023166,20.08880308880309,515.8642213642214,0.06241956241956242,0.12548262548262548,0.0032175032175032173,0.01673101673101673,0.017374517374517374,,2.7741312741312742,0.03732303732303732,32.0,2015,Northeast,48069.49806949807,0.04826254826254826,1554000.0,56560081.0
0.07271557271557272,2.175032175032175,1.382882882882883,3.7258687258687258,25.93050193050193,19.99227799227799,475.37644787644786,0.059202059202059204,0.14092664092664092,0.0032175032175032173,0.010939510939510939,0.017374517374517374,,2.9047619047619047,0.0444015444015444,33.0,2016,Northeast,236808.2368082368,0.06628056628056628,1554000.0,56915936.0
0.064993564993565,2.243886743886744,1.5662805662805663,3.9382239382239383,26.879021879021877,19.82754182754183,515.1685971685972,0.05276705276705277,0.16924066924066924,0.003861003861003861,0.01866151866151866,0.017374517374517374,0.001287001287001287,2.8835263835263834,0.04826254826254826,34.0,2017,Northeast,105276.70527670528,0.07722007722007722,1554000.0,57254159.0
0.06241956241956242,2.212355212355212,1.602960102960103,3.742599742599743,28.146718146718147,19.944658944658944,935.7245817245818,0.05019305019305019,0.1981981981981982,0.003861003861003861,0.03667953667953668,0.017374517374517374,0.003861003861003861,3.171814671814672,0.0006435006435006435,36.0,2018,Northeast,365186.6151866152,0.04247104247104247,1554000.0,56760780.0
0.055341055341055344,2.1229086229086227,1.666023166023166,3.7245817245817245,26.68918918918919,19.77992277992278,930.8912483912484,0.0444015444015444,0.19240669240669242,0.002574002574002574,0.035392535392535396,0.01866151866151866,0.007722007722007722,3.3687258687258685,0.0006435006435006435,37.0,2019,Northeast,553989.703989704,0.017374517374517374,1554000.0,57071654.0
0.05405405405405406,2.102960102960103,1.6808236808236807,3.722007722007722,26.412483912483914,,1375.163449163449,0.04247104247104247,0.1994851994851995,0.002574002574002574,0.036036036036036036,0.009009009009009009,0.0045045045045045045,3.354568854568855,0.0006435006435006435,,2020,Northeast,,,1554000.0,
0.021963824289405683,0.14780361757105942,0.03875968992248062,0.2,0.882687338501292,,,0.019638242894056846,0.006718346253229974,,0.0,,,0.06899224806201551,0.0018087855297157622,4.0,2005,North,,,3870000.0,14698878.0
0.022222222222222223,0.15684754521963823,0.043410852713178294,0.217312661498708,1.1064599483204134,1.2049095607235143,,0.019896640826873386,0.008268733850129198,,0.0,0.0005167958656330749,,0.10749354005167959,0.004134366925064599,4.0,2006,North,,,3870000.0,15022060.0
0.022997416020671835,0.16149870801033592,0.050129198966408266,0.2317829457364341,1.3728682170542637,1.7108527131782947,25.441602067183464,0.02041343669250646,0.008527131782945736,,0.00025839793281653745,0.0005167958656330749,,0.14470284237726097,0.004134366925064599,5.0,2007,North,,,3870000.0,14623317.0
0.022739018087855296,0.16899224806201552,0.08010335917312661,0.2834625322997416,1.6188630490956073,1.776485788113695,32.801808785529715,0.02041343669250646,0.009560723514211887,,0.0007751937984496124,0.0005167958656330749,,0.2925064599483204,0.0036175710594315244,5.0,2008,North,,,3870000.0,15142684.0
0.022997416020671835,0.18501291989664082,0.09354005167958657,0.3147286821705426,1.889922480620155,1.983204134366925,35.151162790697676,0.020671834625323,0.010852713178294573,,0.0012919896640826874,0.0005167958656330749,,0.29405684754521966,0.003359173126614987,6.0,2009,North,,,3870000.0,15359608.0
0.022739018087855296,0.19276485788113695,0.10981912144702842,0.35297157622739017,2.1338501291989664,2.1475452196382427,34.965891472868215,0.02041343669250646,0.012661498708010336,0.00025839793281653745,0.0020671834625322996,0.0005167958656330749,,0.3041343669250646,0.003359173126614987,6.0,2010,North,,,3870000.0,15880839.0
0.021963824289405683,0.2235142118863049,0.11576227390180878,0.4291989664082687,2.5410852713178294,2.244186046511628,35.711627906976744,0.01937984496124031,0.014728682170542635,0.00025839793281653745,0.006201550387596899,0.0005167958656330749,,0.3359173126614987,0.002842377260981912,7.0,2011,North,,,3870000.0,16095187.0
0.020155038759689922,0.24263565891472869,0.1421188630490956,0.4731266149870801,2.887596899224806,2.363049095607235,39.5,0.017829457364341085,0.019121447028423774,0.00025839793281653745,0.011627906976744186,0.0005167958656330749,,0.3082687338501292,0.003875968992248062,7.0,2012,North,,,3870000.0,16318163.0
0.019121447028423774,0.2537467700258398,0.1516795865633075,0.5268733850129199,3.11266149870801,2.539793281653747,43.6015503875969,0.017054263565891473,0.023255813953488372,0.00025839793281653745,0.014211886304909561,0.0005167958656330749,,0.2813953488372093,0.003875968992248062,8.0,2013,North,14134.3669250646,0.010077519379844961,3870000.0,16983484.0
0.01757105943152455,0.262015503875969,0.1648578811369509,0.5441860465116279,2.8015503875968992,2.6728682170542637,53.80594315245478,0.015503875968992248,0.03178294573643411,0.0005167958656330749,0.014987080103359173,0.0005167958656330749,,0.2625322997416021,0.004134366925064599,8.0,2014,North,35813.95348837209,0.01627906976744186,3870000.0,17231027.0
